video,exercise,ELBOW_ANGLE_left_min,ELBOW_ANGLE_left_max,ELBOW_ANGLE_right_min,ELBOW_ANGLE_right_max,SHOULDER_SWING_left_min,SHOULDER_SWING_left_max,SHOULDER_SWING_right_min,SHOULDER_SWING_right_max,ELBOW_FLARE_left_min,ELBOW_FLARE_left_max,ELBOW_FLARE_right_min,ELBOW_FLARE_right_max,HIP_EXTENSION_left_min,HIP_EXTENSION_left_max,HIP_EXTENSION_right_min,HIP_EXTENSION_right_max,SHIN_ANGLE_left_min,SHIN_ANGLE_left_max,SHIN_ANGLE_right_min,SHIN_ANGLE_right_max,TORSO_SWING_left_min,TORSO_SWING_left_max,TORSO_SWING_right_min,TORSO_SWING_right_max,SHOULDER_ABDUCTION_left_min,SHOULDER_ABDUCTION_left_max,SHOULDER_ABDUCTION_right_min,SHOULDER_ABDUCTION_right_max,ELBOW_BEND_left_min,ELBOW_BEND_left_max,ELBOW_BEND_right_min,ELBOW_BEND_right_max,KNEE_ANGLE_left_min,KNEE_ANGLE_left_max,KNEE_ANGLE_right_min,KNEE_ANGLE_right_max,TORSO_STABILITY_left_min,TORSO_STABILITY_left_max,TORSO_STABILITY_right_min,TORSO_STABILITY_right_max,BODY_LINE_left_min,BODY_LINE_left_max,BODY_LINE_right_min,BODY_LINE_right_max,HIP_HIKE_left_min,HIP_HIKE_left_max,HIP_HIKE_right_min,HIP_HIKE_right_max,BODY_SWING_left_min,BODY_SWING_left_max,BODY_SWING_right_min,BODY_SWING_right_max,TORSO_LEAN_left_min,TORSO_LEAN_left_max,TORSO_LEAN_right_min,TORSO_LEAN_right_max,TORSO_ARCH_left_min,TORSO_ARCH_left_max,TORSO_ARCH_right_min,TORSO_ARCH_right_max,BACK_ANGLE_VERTICAL_left_min,BACK_ANGLE_VERTICAL_left_max,BACK_ANGLE_VERTICAL_right_min,BACK_ANGLE_VERTICAL_right_max,BACK_ANGLE_HORIZONTAL_left_min,BACK_ANGLE_HORIZONTAL_left_max,BACK_ANGLE_HORIZONTAL_right_min,BACK_ANGLE_HORIZONTAL_right_max,ELBOW_PIN_left_min,ELBOW_PIN_left_max,ELBOW_PIN_right_min,ELBOW_PIN_right_max
barbell biceps curl_38.mp4,barbell biceps curl,5.000690714457135,179.6786204312886,5.296845392079477,179.58775321090948,168.31658051078284,175.8720884626036,168.20300909260195,174.74170792115336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_39.mp4,barbell biceps curl,3.697823659459902,179.6730105555472,5.414526923872637,179.1245706503091,126.77985287936956,175.60145285704434,17.348673694849108,173.85108827267206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_4.mp4,barbell biceps curl,15.99409819187252,160.52711246798407,3.0845106025187063,155.47305694574172,134.65144515454122,179.67068949878507,170.97040119493332,177.1448517237658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_40.mp4,barbell biceps curl,17.47752057938318,166.35463030505844,0.564943806910733,179.5288815126708,161.63177782252507,179.54305354068788,168.12753994113106,179.50215177049847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_41.mp4,barbell biceps curl,3.429611089276607,179.69094323371843,46.453558404574004,179.60313513380973,14.69760994069503,172.29963492920038,40.541532880508214,136.84846748318068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_42.mp4,barbell biceps curl,7.090503715166076,178.42487521716376,2.51931741536685,175.0396709817405,170.24005849585495,175.1499782081384,168.99891452726217,175.3763130770148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_43.mp4,barbell biceps curl,3.970502242160436,169.77723334971003,26.705480387969303,179.6567127870128,168.78910583754757,179.47883629529272,170.8337173269587,177.37084516793217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_44.mp4,barbell biceps curl,1.2386519792916197,178.05384924675212,1.7954594519571503,175.9376483715822,155.291697190096,175.15921516907108,18.824424973962508,175.48520969189823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_45.mp4,barbell biceps curl,6.416190150359643,179.21792536952003,7.913867844840424,179.19019879040718,166.23505389825334,177.89861617562414,169.3783036998853,175.48595412587022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_46.mp4,barbell biceps curl,7.93394374200304,178.3452695459347,0.628578642306905,179.44114901797874,173.25762639803625,179.69289224401314,16.530647999759235,179.71139516295943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_47.mp4,barbell biceps curl,0.5680022670192738,179.61419507251497,4.137311799854074,177.5733491082588,177.05343287718503,179.41445670381682,176.3931011612777,179.78044711556808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_48.mp4,barbell biceps curl,8.83373038224852,178.8009934182651,1.4908269016040436,179.42315671108196,168.7485147740982,179.6930743090336,158.97785813137045,179.70468937862626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_49.mp4,barbell biceps curl,105.86117994675325,156.49304154887915,20.844316519673143,174.08166225511755,177.9341801771888,179.72382527793667,170.455908212648,179.7371046602211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_5.mp4,barbell biceps curl,2.9444622297416023,165.24235323941008,0.2280170563525909,179.6712064583449,170.57076726848868,179.7978110807925,169.69396765720566,178.03278026823438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_50.mp4,barbell biceps curl,175.4959758705667,177.81944443912275,16.34251579254862,174.86754590184344,176.79600218234933,178.45694913278325,166.66824650153796,179.75214958974087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_51.mp4,barbell biceps curl,6.3394549945500005,179.67959754891345,6.525538734058088,179.7190116565908,158.1859594450877,178.16550249471234,166.01927511878398,177.4603357142784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_52.mp4,barbell biceps curl,0.19372670633857605,178.92017500255255,0.21104962434985902,178.079134698151,168.50126661636006,179.80955887780567,162.03630229584158,179.83275030703834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_53.mp4,barbell biceps curl,9.812792763207895,177.82805877685783,27.973323601121898,179.58070628847938,163.7423447049298,179.82590552070934,153.55607299854793,177.08549504206417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_54.mp4,barbell biceps curl,8.704479716116005,179.76075427471434,3.115082612474981,179.68145902658114,169.63017825699143,179.14683316735963,168.6332827468952,174.79098115401524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_55.mp4,barbell biceps curl,0.60197550319239,179.66915463714778,0.46006128022858694,179.18868573598886,171.3816880190301,178.19098324007845,170.52500729685758,177.17493273939724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_56.mp4,barbell biceps curl,10.514981302524436,179.64368202519523,1.6366608712188857,178.9369392258011,3.832368151716789,179.80207616023827,0.8426022372833564,179.64265805662365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_57.mp4,barbell biceps curl,2.0674670431281688,17.51188061489313,0.42216915395163207,8.087777638209305,163.99077248048454,177.7635651583868,171.60080161228788,179.79958812580097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_58.mp4,barbell biceps curl,127.77928730583295,169.2691297349931,16.667621149945166,178.63529799585226,5.6629599097854175,179.74956781385535,1.6330221150849278,178.7555613179397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_59.mp4,barbell biceps curl,0.2488747152045263,68.39606798390983,0.2879209637064414,177.5775260298762,155.5677159141402,179.80576941490065,161.64433711318725,179.8307395994605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_6.mp4,barbell biceps curl,13.056968487055608,171.59958169855483,19.963729280261436,173.73400561286687,172.8623874226318,177.4781136186428,156.58839378603895,176.38064028626607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_60.mp4,barbell biceps curl,1.8310655169439631,175.1544333639505,128.25819596062428,177.61833890816183,153.46693560285783,179.80340221247656,168.05375382587988,179.82482814904836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_61.mp4,barbell biceps curl,10.237480097765598,178.04366456820247,11.965762048739018,169.80007112391837,5.948300440559852,179.5354731757936,11.995010592356138,176.99616497434639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_62.mp4,barbell biceps curl,26.322460757432857,179.2634251928237,31.922452331862804,160.68661135330584,145.28868931278762,179.69766164488487,136.9352224497853,178.14660457575343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
